"""이어폰만 꽂아도 통역이?""…AI 폰 이어 'AI 버즈'도 나올까"
"구글, AI 모델 '제미나이' 상용화 잰걸음"
"구글, 제미나이 앱 출시.. 스마트폰 속 AI에이전트 전쟁 시작된다"
"구글 AI '제미나이', 스마트폰 속으로 더 깊숙이 들어온다(종합)"
구글 `바드`도 `제미나이`로…AI 전열 재정비
"구글, 가장 강력한 LLM 제미니 울트라(Gemini Ultra) 출시"
[TECH REPORT] 매터를 통한 원활한 스마트홈 연결
"""자체 OS 지원 중단"" 삼성·LG, 스마트 TV서 AI 비서 '구글 어시스턴트' 사용 불가"
"띵스플로우, AI 챗봇 '헬로우봇'으로 구글 글로벌 피처드 선정"
"구글 AI 챗봇 바드, '제미나이'로 변신!... GPT-4 뛰어넘는 울트라 모델 기반 '제미나이 어드밴스드'출시"
"美 슈퍼볼서 '주목' 받은 구글·MS의 AI 광고…""기발하다"""
"라익미, 역대급 스타일 '스마트TV는 구글빨 NF43 THE AI 오프화이트' 출시"
"구글 어시스턴트 정책 변경.. 삼성 스마트 TV, 3월 1일부터 지원 중단"
"라익미, 스마트TV는 구글빨 NF40 THE AI 오프화이트 출시"
"구글·아마존, 기술직 대규모 정리해고"
가전을 더욱 쉽게 제어한다? IoT 기기 제어용으로 좋은 스마트 스피커
"루컴즈전자, 구글 OS 탑재 스마트 TV 3종 출시"
"[모닝픽] 국민연금, 시그나 부동산 부실 투자로 타격"
"""MS 1위 독주 못 본다"" AI 투자 위해 구글 아마존, 몸집 더 줄여"
마이크로소프트구글·AWS - 클라우드 3사 실적 ‘AI가 관건’
"'구글의 서클 투 서치', 기종에 상관없이 사용하는 방법"
구글·애플·샤오미까지…AI 모바일 경쟁 ‘활활’
"""모멸감·횡포"" 들끓는 직원에 ""추가 감원"" 못 박은 구글"
AI 넘어 ‘플랫폼 공룡’ 꿈꾼다…애플·구글 뒤쫓는 챗GPT [스페셜리포트]
"유니크한 디자인과 압도적 성능, 논글레어로 눈이 편안하다... 24년형 신제품 이스트라 쿠카 65인치 TV"
"라익미, V320·V430 스마트TV 최대 69% 할인 설맞이 득템찬스 이벤트 진행"
'갤럭시S24' 구글 새로운 검색 기능 'Circle to Search' 지원
[김대호 박사의 오늘 기업·사람] 구글·애플·아마존·삼성·한미약품·OCI·넥슨
"“내 폰에서는 안 된다고?” 구글의 서클 투 서치, 기종에 상관없이 사용하는 꿀팁"
새해 벽두 구글 잇단 정리해고…유튜브도 100명 감원
"구글 어시스턴트 17가지 기능 제거…""품질과 신뢰성에 집중할 것"""
"""안드로이드용 챗GPT, 구글어시스턴트 대체 가능"""
"구글 알파벳, 어시스턴트·하드웨어·AR팀 직원 수백명 해고"
안드로이드폰 음성 AI비서로 구글 어시스턴트 대신 챗GPT 쓴다?
"구글, 픽셀9에 탑재할 AI 음성비서 '픽시' 개발 중…구글 어시스턴트는?"
"구글, 감원 칼바람/직원들, “횡포다” 반발/유튜브도 직원 100명 해고/파키스탄-이란 충돌"
"구글, AI 때문에 이번에는 첨단 기술 연구팀 감원"
"구글, 생성형 AI 비서 '어시스턴트 위드 바드' 공개"
"구글, '어시스턴트'에 AI 챗봇 '바드' 통합한다...""iOS로도 출시"""
"AI 집중하는 구글, 하드웨어 부서 최대 1천명 감축"
"구글→아마존, 연초부터 인력 감축 칼바람…이유는?"
"구글, 모르면 ""모른다""고 답하는 AI 개발"
"삼성 하만 JBL 스마트스피커, 아마존 알렉사·구글 어시스턴트 모두 품는다"
빅테크들 해고 칼바람...구글도 수백명에게 '나가라'
"아마존, 트위치 이어 구글까지…빅테크 구조조정 줄 잇는다"
"구글, 자체 증강현실(AR) 하드웨어 개발 포기.. 삼성 XR 기기 플랫폼 개발 집중"
"[CES 현장] 아마존·구글·MS ""완성차를 잡아라""…생성 AI 탑재 경쟁"
"구글·아마존, 새해부터 감원 '칼바람'"
"구글·아마존 등 글로벌 IT 기업, 연초 구조조정 찬바람"
"갤럭시 S24, 기본기 ‘탄탄’…실시간 통역 완성도는 아쉬워 [백문이 불여IT견]"
"[글로벌] 美 빅테크 '또' 칼바람 분다...트위치·구글, 구조조정 발표"
"구글·아마존 올해도 수백명 해고...""AI에 집중하기 위해"""
"구글, 구조조정 돌입…비용절감·AI 집중키로"
"구글, 엔지니어링팀 직원 등 수백명 해고"
"구글, 클라우드 전환 수수료 부과 종료 [글로벌 비즈]"
"구글, 클라우드 전환 수수료 종료…인원 감축"
"[CES2024] 구글 앱, 차량 통합 박차…포드·닛산·링컨 등 합류"
한국말 하면 영어로 자동번역 “이게 되네”…‘AI 스마트폰’ 성능에 깜짝 [홍키자의 빅테크]
글로벌 칼럼ㅣ‘구글 어시스턴트’의 미래는 어떻게 될까?
"""구글 어시스턴트에 바드 AI 결합할 큰 기회"" 구글 내부 이메일 공개돼"
"구글 어시스턴트, 생성 AI 기반으로 바뀐다"
"AI에 사활 건 구글, 핵심 전략 방향은?"
"구글 어시스턴트, 웹페이지 내용 요약해준다"
"구글 ""제미니 AI 시연 영상 편집본이지만 성능엔 거짓 없어"""
"“언제, 어떤 기능이 나올까?” 안드로이드 15 미리보기"
"""구글, 픽셀폰 전용 AI비서 만든다…사물인식 안경도 개발 중"""
쓰는 사람 없는 구글 어시스턴트…바드로 대체 수순
"구글 어시스턴트, 6월 20일부터 서드파티 메모 앱 지원 중단"
"[리뷰] 더함 스마트 65 QLED 144Hz 돌비 AI 구글3.0 게이밍: 스펙에 놀란 가슴, 가격에 더 놀라다"
"구글, '제미나이' 생태계 구축해 AI 업계 최강 노린다"
"사람보다 똑똑한 AI 나왔다… 오픈AI 능가하는 구글 ‘제미나이’, 바드에 순차 적용"
"구글, 인간 뛰어넘은 AI모델 '제미나이' 출시...""GPT4도 능가"""
구글 렌즈를 통해서 본 인공지능의 혁신적 활용
"구글, 차세대 AI 챗봇 제미니(Gemini) 출시 연기?"
구글 '픽셀 워치' 신기능 대거 추가
"""구글, 12월로 잡았던 오픈AI 대항마 '제미니' 공개 행사 연기"""
How-To : “1초가 쌓여서 10분” 안드로이드 시간 절약 단축키 16선
"구글 픽셀8 프로, 'AI 코어' 첫 번째 업데이트 출시"
"삼성・애플・구글, 스마트폰에 탑재되는 생성형 AI... 모바일 시장판도 바꿀까"
생성형 AI 스마트폰 시대 '임박'···삼성·구글·애플 '삼분지계' 승자는?
"“AI폰 시대 온다”… 삼성-구글 연합, 애플 꺾고 시장 선점 승부수"
"구글, 美·日 스마트폰 시장서 급성장… 일본서는 삼성 제치고 2위로 ‘껑충’"
"'생성형 AI' 스마트폰 탑재 경쟁…구글 뛰고, 삼성·애플 맹추격"
"구글이 쏘아올린 AI폰…삼성 vs 애플, 진짜 만능 비서폰 내놓나"
"구글, 차세대 LLM 제미니(Gemini) 출격 연기했다"
"구글, 타사 디스플레이서 어시스턴트 업데이트 중단"
"라익미, 스마트 N86 THE AI 구글 TV 제로베젤 50대 특가 이벤트 진행"
"구글, 삼성 갤럭시에 일부 서비스 선탑재 댓가로 4년간 80억 달러 지불?"
"구글 '픽셀폰' 韓출시 추진…""외산폰 무덤인데"""
"구글, 바드 AI 기술에 집중...어시스턴트 팀 재편"
"구글, 챗봇 '바드'에 집중키로...AI 비서 '어시스턴트' 구조조정"
"구글, 3개월 전 포기했던 아이언맨의 '스마트 안경' 재도전"
[신년특집-AI 3.0 시대③]손안의 만능비서…'온디바이스 AI폰' 온다
"AI 도입한 구글, 광고 영업팀 대규모 감원 발표"
갤S24부터는 '빅스비' 사라질까…구글 생성형AI '바드' 탑재 전망
구글 바드 탑재 'AI 비서'…내년 초 갤럭시S24 시리즈 지원
"구글, AI 기반 메시징 어시스턴트 개발 중"
"구글 픽셀8 독점 기능, 픽셀7에도 추가 예정…뭐 있을까?"
"구글, 더 똑똑해진 ‘AI 비서’ 공개…음성, 이미지로도 대화"
"포르쉐, 차세대 모델에 '구글' 기본 앱 탑재 예정"
"""이어폰만 꽂아도 통역이?""…AI 폰 이어 'AI 버즈'도 나올까"
"구글, AI 모델 '제미나이' 상용화 잰걸음"
구글 제미나이 어드밴스드 써보니…똑똑한데 2% 부족
"구글 ""구독 요금제 서비스 '구글 원' 1억명 돌파"""
'제미나이 AI 생태계' 구축 나선 구글
제미나이 울트라 통했나… 구글원 가입자 1억 돌파
"구글, 제미나이 앱 출시.. 스마트폰 속 AI에이전트 전쟁 시작된다"
"구글 AI 챗봇 '제미나이 어드밴스드', 공부·코딩도 도와준다"
구글 `바드`도 `제미나이`로…AI 전열 재정비
"구글, 챗봇 바드 이름 제미나이로 바꾼다…유료 앱도 출시"
이번엔 스마트폰… 구글 vs MS vs 오픈AI ‘AI 앱’ 경쟁
"구글 '제미나이 프로', AI 챗봇 '바드' 한국어 버전에 적용"
"구글, 바드 등 AI 제품 '제미나이'로 일원화···최상위 멀티모달 '울트라' 출시"
"구글, 대화형 인공지능 Bard→Gemini로 ‘리브랜딩’"
"구글 AI 챗봇 ‘제미나이’로 재탄생, 달라진 점은 무엇인가"
세뱃돈 얼마가 적당할까? 구글·네이버 AI에 물어보니
"韓 공들이는 구글, 서울시와 AI 창업자 육성…바드엔 제미나이 탑재"
"GPT-4 넘은 제미나이…구글, AI 주도권 되찾나"
[미리보는 MWC 2024] 생성AI·6G 등 미래 먹거리 한눈에…中 빅테크도 가세
‘생성형 AI’가 바꾼 클라우드 시장 판도… 아마존 추락하고 MS·구글 약진
"이미지만 보고 답변·검색 척척… AI, ‘멀티모달’ 달고 진화"
"MS, 코파일럿 확대 시동…‘AI 리더’ 입지 다지기"
"[이용호의 시니어 인공지능] 구글 AI, 제미나이와 기존 바드의 차이는 뭘까?"
"中 갤럭시S24에 바이두 생성형AI 탑재한 삼성, LLM 본격화"
"구글 바드, '제미나이'로 전면 리브랜딩…유료 티어 출시"
허깅페이스 손잡은 구글 ‘열린 AI 생태계’ 승부수
"""갤럭시 S24에 생성 AI 제공"" 구글-삼성 동맹 강화"
챗GPT에 '기억력' 생겼다
더 날카로워진 '양날의 검 딥페이크' [인공지능 365]
AI로 광고시장 잡아라...네이버·구글 잇따라 서비스
"""구글, 이번 주 제미나이 울트라 탑재 챗봇 출시""...'바드'에서 '제미나이'로 이름 변경"
갤S24에 빙의된 ‘4명의 영혼’…“이 어려운 걸 다 해냈습니다” [위클리반도체]
"“가볍고 저렴한 언어모델이 뜬다”… MS·구글·메타, 온디바이스 AI 시장서 격돌"
마이크로소프트구글·AWS - 클라우드 3사 실적 ‘AI가 관건’
"삼성 vs 애플, 차세대 웨어러블 경쟁 '활활'"
‘AI 벌이’ 그럭저럭 괜찮네···MS·구글 4분기 ‘어닝 서프라이즈’
[특파원 칼럼] IT 생태계 약육강식 시대
"삼성, AI폰 이어 '갤럭시 링'도 깜짝 공개"
"구글, 4분기 매출 13% 증가…광고부문 기대 못 미쳐"
"삼성 첫 AI폰에 매료된 인플루언서들… 구글도 ""성공 확신"" [갤럭시S24 언팩 현장을 가다]"
"판돈은 인류, 인공지능 난세의 서막: MS·구글·애플, 누가 더 악랄한가"
"필립 모이어 구글클라우드 AI전략 총괄 ""車·건설현장까지 '제미나이' 확장할 것"""
"美 정부 ""오픈AI·구글, AI 모델 훈련 내역 알려야"""
2024년 증시도 AI… MS·구글·SAP 역대 최고가
전화·문자·검색·사진·영상까지…갤럭시 AI가 다 바꿨다(종합)
맞춤형 챗봇 5일만에 300만개… 구글·애플 앱마켓 대체하나 [챗봇 대중화 열렸다]
"생성 인공지능, 스마트폰 품 속으로"
"AI 유레카 외친 삼성, 구글과 끈끈한 동맹 과시"
"'갤럭시 S24'가 연 'AI폰 시대', 스마트폰 산업 전체가 바뀐다"
"애플 iOS '폐쇄적 AI' 지향…""삼성·구글에 뒤쳐져"""
AI인재 쟁탈전… 오픈AI “연봉 130억원” 구글 “스톡옵션 수십억”
[갤럭시언팩 2024] 스마트폰 성패 AI가 가른다…글로벌 빅테크 각축전
韓 증시 흔드는 美 빅테크…내일 새벽 MS·구글 실적에 이목 집중
[단독]'김지현' 누구길래…김지현만 입력하면 구글 AI '먹통'
"AI창업경영교육원 문서준 원장, 웨비나서 'AI 기술의 실무적 활용 방안' 제시"
"구글, 작년 4분기 광고매출 울고 클라우드 웃고…주가 '시간 외 급락'"
"내일 새벽 6시 MS-알파벳 실적 발표, 미증시 중대 분수령"
"[단독] 구글 인공지능칩 주역 2인…한명은 삼성에, 한명은 ‘여기’ 갔다는데"
"AWS식 생성형 AI는 철저히 '비즈니스' 관점...""검소하게, 안전하게, 골라서 쓰라"""
"구글클라우드, 버텍스AI 힘입어 네 분기 연속 흑자"
"[우리가 AX 주역] 〈1〉 뤼튼테크놀로지스, 구글 멀티모달 '제미나이' 도입 검토···AI 메가 플랫폼으로"
"""실시간통역·검색·사진에 AI 적용""...삼성전자, '갤럭시 S24' 시리즈 공개"
"[기획]K-산업, '온디바이스' 너도나도 출시 경쟁"
13개 언어 'AI 통역' 갤S24…제미나이 품고 '문서 요약' 거뜬
"구글 클라우드, 삼성 갤럭시 S24 시리즈에 생성형 AI 제공"
"구글 바드에 '김가은' 검색했더니 ""도와드릴 수 없다""…왜?"
구글 구독서비스 '구글 원' 터졌다...가입자 1억 명 육박
[주간 클라우드 동향/1월④] 구글클라우드 생성형AI 올라탄 세계최초 ‘AI폰’
"자르고 또 자르는 구글, CEO가 입을 열었는데…"
"김용경 서구갑 예비후보, AI 활용 선거운동 비법 공개"
"GPT-5부터 바드까지 ""AGI 전쟁 시작된다"""
"1월 31일 월가의 돈이 되는 트렌드, 월렛 - MS 알파벳 실적 체크포인트 [글로벌 시황&이슈]"
구글도 '클라우드'가 효자…광고 매출은 시장 기대치 미달
