"한화 3남 김동선 ""푸드테크로 사회문제 해결""…한화푸드테크 '출범'"
"한화 김동선, 로봇 이어 푸드테크 신사업 낙점"
"""인도인 입맛 사로잡았다""…매장 50개 세운 'K푸드' 정체"
"더테이스터블, 한화푸드테크로 변경…김동선 부사장 주력사업"
"바이오 푸드테크 심플플래닛, 80억원 규모 '프리A' 투자 유치"
"더테이스터블, 한화푸드테크로 사명 변경..김동선 부사장 주력사업 집중"
"한화호텔앤드리조트, 자회사 '한화푸드테크' 출범…""첨단기술로 인력난 풀어갈 것"""
한화의 푸드테크 기업 '한화푸드테크'...외식에 첨단기술 접목해 글로벌시장 진출
"한화, 신사업 ‘푸드테크’에 주력…“450조 원 글로벌 시장 공략”"
"한화 3남 김동선, ‘푸드테크’ 키운다…“향후 식품산업 경쟁력 될 것”"
"""유통·건설·로봇 이어 이번에는 푸드테크""…한화 3남 김동선, '한화푸드테크' 이끈다"
"더테이블, '한화푸드테크'로 재탄생 ""식품에 첨단기술 접목"""
"한화호텔앤드리조트, ‘한화푸드테크’ 공식 출범…글로벌시장 공략 가속"
"더테이스터블, 한화푸드테크로 사명 변경... ""한화 김동선 부사장이 공 들이는 주요 신사업 '푸드테크'로 글로벌 시장 공략!"""
"한화푸드테크 출범...한화 김동선, 신사업 도전"
"푸드테크 시장 잡기 나선 한화, '한화푸드테크' 출범"
김동선의 신사업 ‘푸드테크’ 출격…“위험한 작업 로봇으로 대체”
"한화호텔앤드리조트 자회사 더테이스터블, '한화푸드테크'로 사명 변경"
"한화 김동선, 로봇 다음은 푸드...더테이스터블 '한화푸드테크'로 변경"
"한화리조트, 자회사 '한화푸드테크' 출범…글로벌 영역 확장"
"[Biz뷰] 치킨에 진심인 푸드나무, 신사업으로 점프업 '쾌속질주'"
"고양시, '푸드혁신센터' 건립 추진…국비 확보 총력"
"""프리미엄 K-푸드 브랜드가 되고 싶어요"""
괴산군 '푸드테크 연구지원센터' 유치 나선다
"괴산군, 푸드테크 연구지원시설 유치전 '가세'"
2026년까지 ‘푸드테크 연구지원센터’ 전국 3곳 들어선다
"2024 창업시장, 조리로봇 활용한 푸드테크 여전히 강세"
"이그니스, 美 '팬시푸드쇼 2024' 참가"
"괴산군, 푸드테크 연구지원센터 유치 시동"
과천 푸드테크 창업기업 육성 팔 걷었다
"롯데중앙연구소, 푸드테크 스타트업 지원"
"[기획] 도미노피자, IT기술 도입으로 푸드테크 강화"
"푸드테크 기업 '식신', 2024 별 맛집 6007곳 공개"
국가식품클러스터에 푸드테크산업 생태계 조성 본격화
"포항시, 미래 신산업 ‘푸드테크’ 육성 … 관계기관 머리 맞댔다"
"롯데중앙연구소, 푸드테크 스타트업 기술 지원"
"과천시 창업지원센터와 서울대학교 푸드테크센터‧한국푸드테크협의회, 업무협약 체결"
"고양특례시, 고양푸드혁신센터 건립 타당성 연구용역 최종보고회 개최"
"포항시 ""푸드테크 집중 육성, 미래 신산업 선점"""
경북대 한방바이오융합진흥원 '한-베 푸드테크 공동연구 촉진' 4자 업무협약 체결
"괴산군, 푸드테크 연구지원센터 유치 나서"
"[특집] 전남 문화·관광·푸드, '전 세계로 이어진다'"
"화성까지 가는 먼 길, 우주인 식단 관리할 푸드테크 쏟아진다"
"스테이정글 푸드랩, CES 2024 전시참여 성료"
"CES2024가 제시한 주요핵심 기술, 푸드테크"
"퓨처센스, 에스엠해썹과 푸드테크 DX 플랫폼 사업 MOU"
"스테이정글 푸드랩, CES 2024 전시참여 성료"
"춘천시·강원대, 푸드테크산업 인재 양성 업무협약"
"[경북소식] 포항시, 미래 신산업 ‘푸드테크’ 육성 관계 기관 머리 맞댔다"
"롯데중앙연구소, 푸드테크 스타트업 2곳에 기술지원"
"[유통가 테크-②] '식품의 혁신' 푸드테크…""대체식품 화두…법규 마련 시급"""
"춘천시-강원대, 푸드테크 협약체결…인력양성 협력"
"롯데중앙연구소, 푸드테크 스타트업 상생 위해 기술 지원 실시"
"'맛·첨단기술 접목' 광주시, 푸드테크 미래 신성장 육성"
"익산시, 푸드테크 전문인력 양성을 위해 머리 맞대"
"""경북 푸드테크산업 육성과 지원을"""
"익산시, 푸드테크산업 생태계 조성에 나선다."
콩·호박으로 만든 ‘식물성 달걀’ 맛은?… ‘2023 코리아 푸드테크 아이디어 공모전’ 수상작들
“무알코올 주류로 무슬림 시장도 공략”…푸드테크 스타트업 로렌츄컴퍼니의 도전 [긱스]
"[기획] 식품업계, AI‧푸드테크 고도화 나서"
신성델타테크 주가 달리는 말...외국인 매수폭발 '눈길'
“백종원과 함께 푸드테크 생태계 조성해 볼께유”
"이칠구 경북도의원, 푸드테크산업 육성·지원 조례안 발의"
"AI 푸드테크 기술, 김치 산업에도 활용... 품질·생산성 UP!"
"에스앤에스랩·심플플래닛, 미국 플러그앤플레이와 '푸드테크 특화 플랫폼' 구축 MOU 체결"
"미래 신산업 '푸드테크' 토론의 장 열렸다…포항·관계기관, 산업 규제개선·육성 논의"
"강원대-춘천시, 춘천 푸드테크산업 인재 양성 업무협약 체결"
포항 푸드테크 산업 육성 방안 산·학·연·관 머리 맞대다
"푸드테크, 친환경 로컬푸드 견인한다"
"에스앤에스랩, 심플플래닛, 미국 플러그앤플레이와 ‘푸드테크 특화 플랫폼’ 구축 MOU 체결"
"경기도농수산진흥원, 푸드테크업계 '친환경 로컬푸드' 선호"
"포항시, 푸드테크 사업 육성으로 미래 신산업 선점"
"포항시, 푸드테크 사업 집중 육성으로 미래 신산업 선점"
"아워홈, 글로벌 푸드·헬스테크 기업으로 도약"
"아워홈, 글로벌 푸드&헬스테크 기업으로 진화"
"경기도농수산진흥원 ""푸드테크업계, 친환경 로컬푸드 선호"""
